model,seed,run_role,source_run,config_id,question_id,area,level,temperature,top_p,repeat_penalty,max_tokens,top_k_rag,eval_mode,t_rag_s,t_gen_s,t_eval_s,t_total_s,overall_score,grounding_score,relevance_score,level_score,passed,is_fallback,fallback_correct,tokens_generated,tokens_per_sec,kw_score,chunks_retrieved,prompt_chars,timestamp,response_sha256,context_sha256
Phi-4-mini,42,analysis,benchmark_20260902_140238.json,cfg_eval_full,G1,grammar,basic,0.3,0.9,1.1,512,5,full,13.354,50.3,0.195,63.849,0.767,0.709,0.708,1.0,True,False,,74,1.47,0.333,5,7867,2026-09-02T13:47:35.999331,d8315a3df0e1f8b6f3f1f12e5874370d8b78b570dcc24f22d31e208e62214e28,ecd518b6b2eb4ee3bd7beb73f3dadc4142f73628beca625e29cf7bb6868884eb
Phi-4-mini,42,analysis,benchmark_20260902_140238.json,cfg_eval_full,G2,grammar,intermediate,0.3,0.9,1.1,512,5,full,3.932,65.378,0.184,69.494,0.844,0.807,0.803,1.0,True,False,,262,4.01,0.167,5,7780,2026-09-02T13:48:45.494267,fd3f86351d2311557d31d8385a9eef6517d41d4e211fba691783127b442b2514,5c56d394d24b0512555db2e1cd2b78b0a465c17dd82e30b0f97acce829a88c67
Phi-4-mini,42,analysis,benchmark_20260902_140238.json,cfg_eval_full,G3,grammar,advanced,0.3,0.9,1.1,512,5,full,4.485,66.998,0.184,71.667,0.842,0.835,0.858,0.824,True,False,,272,4.06,0.333,5,7835,2026-09-02T13:49:57.161235,7a9f67635763c4d77401214a8888518225be3bfed427efaa75f61ff2d5464bbc,1f9515bcd7dc128a6f8188821572c87959d72bf6c51817f26b963400256f8e2a
Phi-4-mini,42,analysis,benchmark_20260902_140238.json,cfg_eval_full,G4,grammar,intermediate,0.3,0.9,1.1,512,5,full,5.82,73.152,0.187,79.158,0.827,0.787,0.781,1.0,True,False,,309,4.22,0.167,5,7834,2026-09-02T13:51:16.321007,601e3a283d02c5d3986f0049aefb0402a76cf24d22bf7516eba56d8ad835039c,822147ac9d75798653cc8024f3a5c647b3a2e41e1c38bc1d95b75e46c6edc5fc
Phi-4-mini,42,analysis,benchmark_20260902_140238.json,cfg_eval_full,V1,vocabulary,intermediate,0.3,0.9,1.1,512,5,full,4.042,88.993,0.187,93.222,0.75,0.669,0.706,1.0,True,False,,495,5.56,0.5,5,7911,2026-09-02T13:52:49.543089,56468967197b18abada2522317f0ccdc1ab7f4e58ecd78945539d114588c3894,835c1d0e7e1dc9a425e17ce7b8b08396a996e72af55944e9acc254fe12f1f339
Phi-4-mini,42,analysis,benchmark_20260902_140238.json,cfg_eval_full,V2,vocabulary,intermediate,0.3,0.9,1.1,512,5,full,4.035,54.521,0.189,58.745,0.766,0.801,0.799,0.627,True,False,,122,2.24,0.5,5,8004,2026-09-02T13:53:48.289405,29dc3c53e691796eebd4cdbfcab1ba3b2d782193ee732ce6e82f27a16151be72,8eb8f9c3afd70e702465f35d00d39212ea1427bc412d158ea763677806105888
Phi-4-mini,42,analysis,benchmark_20260902_140238.json,cfg_eval_full,V3,vocabulary,advanced,0.3,0.9,1.1,512,5,full,3.586,49.098,0.169,52.853,0.736,0.836,0.855,0.3,True,False,,96,1.96,0.167,5,8161,2026-09-02T13:54:41.142088,bb80b5b2a389c96c8c5026de5dcc0f1a88008f85286aa9af200ad7e74cd13f2d,2bea65bd6881412ae359b0cb97ec4b8ae56f0ffa4087ffca5b1b55905854eb44
Phi-4-mini,42,analysis,benchmark_20260902_140238.json,cfg_eval_full,W1,writing,basic,0.3,0.9,1.1,512,5,full,4.003,81.82,0.179,86.002,0.874,0.872,0.841,0.945,True,False,,320,3.91,0.167,5,8773,2026-09-02T13:56:07.142327,f74f96977253fa60274ed7e45ed42aac4b3f51df72356e2f277086edccabafcd,a8d739bdc231e17287857234ef759351f381c6a90964f7b15818800af793f2d6
Phi-4-mini,42,analysis,benchmark_20260902_140238.json,cfg_eval_full,W2,writing,intermediate,0.3,0.9,1.1,512,5,full,3.399,96.229,0.182,99.81,0.87,0.851,0.823,1.0,True,False,,478,4.97,0.167,5,8667,2026-09-02T13:57:46.950667,2ee213332680a83119d98047509f90a8f97bc4ce67e16b4c281dd5ddd8459d99,71cf00ea40bd402183151004acf49afe0a17b34058b1be18b7c5123b68664b16
Phi-4-mini,42,analysis,benchmark_20260902_140238.json,cfg_eval_full,W3,writing,advanced,0.3,0.9,1.1,512,5,full,4.02,70.428,0.187,74.635,0.814,0.841,0.826,0.736,True,False,,257,3.65,0.0,5,8467,2026-09-02T13:59:01.592571,752540a672c6b8f5c11496b1565db981a65468450e9b4a9004d8c413c5b92a1e,72bbcd3b95c2214fd24fe3b81ec2c039102e5255497b4dd29ddba4d34f489cd9
