response_code,teacher_id,model,question_id,area,level,automatic_score,is_fallback,tokens,correction,clarity,level_adequacy,use_without_changes
R01,teacher_1,Qwen2.5-3B-Instruct-Q4_K_M,V2,vocabulary,intermediate,0.839,false,512,3,3,3,no
R02,teacher_1,Phi-4-mini-instruct-Q4_K_M,G2,grammar,intermediate,0.844,false,262,4,4,3,yes
R03,teacher_1,Qwen2.5-3B-Instruct-Q4_K_M,W3,writing,advanced,0.856,false,512,4,3,3,yes
R04,teacher_1,Qwen2.5-3B-Instruct-Q4_K_M,G2,grammar,intermediate,0.653,false,51,3,3,3,no
R05,teacher_1,Qwen2.5-3B-Instruct-Q4_K_M,R1,reading,basic,0.806,false,49,4,4,4,yes
R06,teacher_1,Phi-4-mini-instruct-Q4_K_M,R1,reading,basic,0.826,false,96,4,4,4,no
R07,teacher_1,Phi-4-mini-instruct-Q4_K_M,V2,vocabulary,intermediate,0.766,false,122,3,3,3,no
R08,teacher_1,Qwen2.5-3B-Instruct-Q4_K_M,G3,grammar,advanced,0.859,false,280,3,3,3,no
R09,teacher_1,Phi-4-mini-instruct-Q4_K_M,W3,writing,advanced,0.814,false,257,3,3,3,no
R10,teacher_1,Phi-4-mini-instruct-Q4_K_M,G3,grammar,advanced,0.842,false,272,4,3,3,no
R01,teacher_2,Qwen2.5-3B-Instruct-Q4_K_M,V2,vocabulary,intermediate,0.839,false,512,3,1,1,no
R02,teacher_2,Phi-4-mini-instruct-Q4_K_M,G2,grammar,intermediate,0.844,false,262,1,2,1,no
R03,teacher_2,Qwen2.5-3B-Instruct-Q4_K_M,W3,writing,advanced,0.856,false,512,1,1,1,no
R04,teacher_2,Qwen2.5-3B-Instruct-Q4_K_M,G2,grammar,intermediate,0.653,false,51,1,1,1,no
R05,teacher_2,Qwen2.5-3B-Instruct-Q4_K_M,R1,reading,basic,0.806,false,49,1,1,1,no
R06,teacher_2,Phi-4-mini-instruct-Q4_K_M,R1,reading,basic,0.826,false,96,1,1,2,no
R07,teacher_2,Phi-4-mini-instruct-Q4_K_M,V2,vocabulary,intermediate,0.766,false,122,3,2,2,yes
R08,teacher_2,Qwen2.5-3B-Instruct-Q4_K_M,G3,grammar,advanced,0.859,false,280,4,4,2,yes
R09,teacher_2,Phi-4-mini-instruct-Q4_K_M,W3,writing,advanced,0.814,false,257,4,3,3,yes
R10,teacher_2,Phi-4-mini-instruct-Q4_K_M,G3,grammar,advanced,0.842,false,272,4,3,2,no
